"region","dealer_code","dealer_name","channel_name","case_id","description","created_on","created_by","updated_on","updated_by","reason_code","case_owner","status","case_sub_type_id","case_closure_date","escalation_level"
"EAST 1","10783 - BUR","BEEKAY AUTO PVT LTD","Arena","B7770064063","As per telephonic conversation customer is seeking a replacement for their vehicle's side-view mirror glass. However, the staff at the authorized Maruti Suzuki workshop lack the technical knowledge to identify the correct part number or variant that fits this specific vehicle model. Because the workshop cannot determine the right fitment, they are unable to place an order or provide the required spare part, leaving the customer stranded without a resolution.","2026-06-15 10:06:39.1613","81113796@maruticrm.onmicrosoft.com","2026-06-15 10:06:39.1613","81113796@maruticrm.onmicrosoft.com","OPEN","Query- Service","OPEN","1",NULL,NULL
"NORTH 2","17023 - FZP","PLUTON DREAMWORKS PRIVATE LIMITED","Arena","B1308476110","The customer stated that they have purchased a car from the showroom, but they are not entering the date in the CNG and are troubling them a lot, they also spoke to the GMC who is also saying that nothing will be done from their end, no one is giving a proper response, and at the RTO it is being told that if an update is issued on this then the passing will be done, they are getting troubled like this and the showroom is troubling them and no one is helping, an update should be provided regarding this, their concern regarding this was already raised, the customer's concern was already raised, FCR was pitched, the customer agreed, and the query was raised in repeat.","2026-06-15 10:06:47.020462","81113792@maruticrm.onmicrosoft.com","2026-06-15 10:06:47.020462","81113792@maruticrm.onmicrosoft.com","OPEN","Query - Sales","OPEN","1",NULL,NULL
"CENTRAL 1","10119 - WZB","TR SAWHNEY MOTORS PVT LTD","Nexa","B8073523436","Customer called regarding car service booking related, Customer looking for car service appointment and looking for pickup & drop facility, Hence query raised, 
","2026-06-15 10:07:31.687268","81113790@maruticrm.onmicrosoft.com","2026-06-15 10:07:31.687268","81113790@maruticrm.onmicrosoft.com","OPEN","Query- Service","OPEN","1",NULL,NULL
"SOUTH EAST 1","60427 - E06","ADARSHA AUTOMOTIVES PVT LTD","MDS","B8741387922","The customer was facing the issue with the driving school trainer he  is continuously delaying it for   starting the classes ,hence i raised the query .  ","2026-06-15 10:08:03.159746","81113664@maruticrm.onmicrosoft.com","2026-06-15 10:08:03.159746","81113664@maruticrm.onmicrosoft.com","OPEN","Query-MSDS","OPEN","1",NULL,NULL
"SOUTH 3","10705 - TVR","POPULAR VEHICLES & SERVICES LTD","Nexa","B2353015544","Customer VOC: I have a 2018 model Ciaz Automatic Petrol (mild hybrid).

I understand that it is not compatible with E20 petrol; using E20 can damage some components and result in poor mileage due to incompatible ECU tuning.

When I checked with the local Nexa service centre, they told me that Maruti has not announced any upgrade yet.

Since we are getting only E20 petrol for the past 6 months here, we need to upgrade the required components and tune the ECU.

When will Maruti announce it? Maruti's popularity in India stems from its long-term commitment to customers.

I (and many other customers) cannot throw away an 8 year old car because of incompatibility with available fuel. This is a very serious issue, and I am sure the same issue affects many other Maruti car models, not just the Ciaz.=================Synopsis ============Customer  is raising a critical concern regarding their 2018 Maruti Suzuki Ciaz Automatic Petrol (mild hybrid), which is incompatible with the E20 fuel that has become exclusively available in their region over the past six months. They highlight that using E20 petrol can cause component damage and reduce fuel efficiency due to incompatible engine control unit (ECU) tuning, yet the local Nexa service center confirms that Maruti Suzuki has not announced any upgrade kit or ECU remap. Appealing to Maruti's reputation for long-term customer commitment, the sender emphasizes that owners cannot simply discard an eight-year-old vehicle and strongly demands a clear timeline from Maruti Suzuki regarding when an official fuel-compatibility upgrade will be launched for the Ciaz and other affected models ","2026-06-15 10:08:27.191402","81111260@maruticrm.onmicrosoft.com","2026-06-15 10:08:27.191402","81111260@maruticrm.onmicrosoft.com","OPEN","Query- Service","OPEN","1",NULL,NULL
"NORTH 3","16390 - TYH","DEV MOTOR PVT LTD","Arena","B7058879423","Customer inform he got the delivery of the vehicle 18 MAY 2026  and till now he did not get the permit letter , Rc documents and GPS tracker letter . When we check the MSIL for RC found 75 working day is available which is not completed , so ask customer to wait and for other documents followed the FCR and raise the query but unable to share any contact details as it is not available . Customer agreed with it .","2026-06-15 10:08:51.71282","81113799@maruticrm.onmicrosoft.com","2026-06-15 10:08:51.71282","81113799@maruticrm.onmicrosoft.com","OPEN","Query - Sales","OPEN","1",NULL,NULL
"NORTH 3","10962 - SUL","KIRTI KUNJ AUTOMOBILES PVT LTD","Arena","B7207419068","Customer owns Brezza his concern that his vehicle  was repaired at Kirti Kunj Automobiles ( Sultanpur ). The vehicle was handed over to the workshop on 15 November 2025 and was returned to him on 25 January 2026 after completion of the repair work. However, after receiving the vehicle, he observed that the repair work has not been carried out professionally. The following issues are present: Panel alignment is not proper, Color matching is not satisfactory, Finishing quality is poor,  Overall workmanship is below the expected standard. He revisited the workshop and requested them to rectify these issues. However, he was informed that the work would remain as it is and that no better result could be achieved.  He have now returned to his hometown, Mumbai, and therefore he is unable to repeatedly visit the original workshop. Since the repair work has not been completed to an acceptable standard. Kindly look into this matter.
","2026-06-15 10:09:34.573335","81113856@maruticrm.onmicrosoft.com","2026-06-15 10:09:34.573335","81113856@maruticrm.onmicrosoft.com","OPEN","Query- Service","OPEN","1",NULL,NULL
"CENTRAL 1","15287 - RTX","FAIR DEAL PREMIUM WHEELS PVT. LTD.","Nexa","B8428248289","Customer is unable to login in Suzuki connect application. As checked enrolment is pending. Inform customer for the same & also inform that enrolment will be done at dealership only. And after complete the  enrolment process customer has to drive the  vehicle for the activation. After that customer able to login in Suzuki connect application. So asked customer for dealership details & Customer shared the same. 
","2026-06-15 10:09:38.281117","81113797@maruticrm.onmicrosoft.com","2026-06-15 10:09:38.281117","81113797@maruticrm.onmicrosoft.com","OPEN","Query - Sales","OPEN","1",NULL,NULL
"SOUTH 1","13883 - CEQ","JAIKRISHNAA AUTOSALES PVT. LTD.","Arena","B1964908740","Customer VOC: I am writing regarding a car cover I ordered online on June 6th. As of today, the item has not been delivered, nor have I received an invoice for the purchase. Order Details:body cover fronx Order Number:MSGA000448241 Date of Order: June 6th 2026 Mobile Number: 8903552054 Model: fronx 2026 Dealer :Jaikrishnaa Autosales Pvt. Ltd. 656, Trichy Road, Singanaallur, Coimbatore,, Coimbatore, Tamil Nadu, 641005 Could you please investigate the status of this order, provide the invoice, and update me on the delivery status as soon as possible? I have attached my booking confirmation/payment receipt for your reference. ================================Synopsis========================================================================================= The customer ordered a Fronx car cover (Order: MSGA000448241) from Jaikrishnaa Autosales Pvt. Ltd. on June 6th. They have not yet received the item or the invoice and are requesting an investigation and delivery update.
","2026-06-15 10:09:42.71768","81115529@maruticrm.onmicrosoft.com","2026-06-15 10:09:42.71768","81115529@maruticrm.onmicrosoft.com","OPEN","Query- Accessories","OPEN","2",NULL,NULL
"WEST 3","10031 - AVL","KATARIA AUTOMOBILES PVT. LTD.","Arena","B9095784403","The customer states that staff misbehaved with them regarding their vehicle, and when they tried to discuss the issue, no resolution was provided. Furthermore, the staff spoke to them very rudely. The customer is highly dissatisfied, and a proper resolution must be provided as urgently as possible.","2026-06-15 10:10:42.06082","81113796@maruticrm.onmicrosoft.com","2026-06-15 10:10:42.06082","81113796@maruticrm.onmicrosoft.com","OPEN","Query- Service","OPEN","1",NULL,NULL
"SOUTH EAST 1","12638 - VIW","VARUN MOTORS PRIVATE LIMITED","Arena","B2262660284","The customer wants to book a service for their car on 15.6.2026.  and also needs a pickup and drop service, so the query has been raised for this","2026-06-15 10:11:06.620291","81113792@maruticrm.onmicrosoft.com","2026-06-15 10:11:06.620291","81113792@maruticrm.onmicrosoft.com","OPEN","Query- Service","OPEN","1",NULL,NULL
"SOUTH 1","10838 - TMF","ABT LIMITED","Arena","B3115879752","The customer is facing an issue with their vehicle's clutch plate and took the car to the workshop. Since the vehicle has only been driven 23,000 km, it is well within the warranty period in terms of both time and mileage. However, the workshop staff is refusing to cover the repair under warranty. The customer is highly dissatisfied and is seeking a resolution regarding this denial of warranty","2026-06-15 10:11:06.942076","81111267@maruticrm.onmicrosoft.com","2026-06-15 10:11:06.942076","81111267@maruticrm.onmicrosoft.com","OPEN","Query- Service","OPEN","1",NULL,NULL
"WEST 2","10166 - DPS","AUTOMOTIVE MANUFACTURERS PVT. LTD.","Arena","B7793033184","Car Owner Name:  SWAPNIL SIDDHARTH NIKOSE
Car Registration Number:  MH49CD9872
Last Visited Workshop:   AUTOMOTIVE MANUFACTURERS PVT. LTD.  
Address of the Workshop:    PLOT NO 28/1, NR. BUDDHA VIHAR,, OPP. DELHI PUBLIC SCHOOL,, KAMPTEE ROAD. PIN: 441002
Date of Visit:  08/06/2026 
Customer contacted-CCM/WM/GM-Name & contact no : -  Not Given
Issue Description: Customer contacted because the vehicle was submitted to the workshop for insurance claim repairs on the 8th of June 2026 and they were promised delivery by the 16th of June but the vehicle has still not been delivered and no proper updates are being provided by the workshop team and upon follow up they are only stating that the delay is due to the unavailability of spare parts so the concern has been successfully raised and the queries have been raised directly with the workshop team who will coordinate with the customer directly to resolve this matter on priority, Additionally i have shared CCM number for direct coordination.
","2026-06-15 10:11:16.226941","81114048@maruticrm.onmicrosoft.com","2026-06-15 10:11:16.226941","81114048@maruticrm.onmicrosoft.com","OPEN","Query- Service","OPEN","1",NULL,NULL
"NORTH 2","11159 - BRN","DURGA TRADERS","Arena","B1910098765","customer want to book the service as number is not available hence share the address and ask to visit the service station ","2026-06-15 10:11:32.336994","81113662@maruticrm.onmicrosoft.com","2026-06-15 10:11:32.336994","81113662@maruticrm.onmicrosoft.com","OPEN","Query- Service","OPEN","1",NULL,NULL
"SOUTH 1","14898 - XVB","CRESCO (A UNIT OF NEXGEN VENTURES PVT LTD)","Nexa","B9641372716","date of submit 04-06-2026
date of delivery 13-06-2026
""The customer owns a Baleno Zeta car. On 4th June, the customer submitted the vehicle regarding a windshield and compressor issue. The customer was informed that delivery would be given on 13th June. However, when the customer contacted them on 13th June, they were told that they would get it on Monday, which is 15th June. Despite this, the customer has not received delivery even today. When the customer called, the manager said, 'I am calling you right back,' and disconnected the call, but no call has been received yet hence raise concern and provide assurance for asap resolution ","2026-06-15 10:12:12.540234","81113662@maruticrm.onmicrosoft.com","2026-06-15 10:12:12.540234","81113662@maruticrm.onmicrosoft.com","OPEN","Query- Service","OPEN","1",NULL,NULL
"CENTRAL 2","13440 - NUA","PLATINUM MOTOCORP LLP","Arena","B2181813935","Customer is a taxi driver whose commercial Ertiga (HR66D0911) is losing daily earnings, is filing a formal complaint against Platinum Motorcorp LLP in Narnaul for failing to fix abnormal, uneven rear tyre wear across multiple service visits. During the second visit, Workshop Manager Mr. Manish Bansal acted unprofessionally, disrespectfully threatening to have security forcefully remove the car within a minute instead of diagnosing the potential suspension or alignment defect. Furthermore, the service center committed a serious procedural violation by generating a vehicle out pass without the customer's mandatory signature or consent. Kindly look into this matter regards .","2026-06-15 10:13:25.865492","81109564@maruticrm.onmicrosoft.com","2026-06-15 10:13:25.865492","81109564@maruticrm.onmicrosoft.com","OPEN","Query- Service","OPEN","1",NULL,NULL
"CENTRAL 2","50242 - SIA","MOTORCRAFT SALES PVT. LTD.","True Value","B9061979930","Customer VOC: Subject: Delay in RC Transfer – Maruti True Value Ghaziabad
I purchased a WagonR from Maruti True Value, Ghaziabad in December 2025. Despite repeated follow-ups, the ownership transfer has not been completed till date. The dealership is only giving verbal assurances. Kindly intervene and ensure immediate transfer of the vehicle in my name. Copies of purchase documents and payment proof are attached.

Wagon r car number UP14FD 5754

True value address:- motor craft sales pvt ltd plot no 415.site IV Sahibabad industrial area Sahibabad pin code 201005

================================Synopsis========================================================================================= The buyer purchased a WagonR (UP14FD5754) from Maruti True Value, Ghaziabad in December 2025 but has not received the ownership transfer despite repeated follow-ups. The dealership is only giving verbal assurances, prompting the buyer to seek immediate intervention for the RC transfer using the attached purchase documents.
","2026-06-15 10:14:34.599442","81109932@maruticrm.onmicrosoft.com","2026-06-15 10:14:34.599442","81109932@maruticrm.onmicrosoft.com","OPEN","Query-True Value","OPEN","1",NULL,NULL
"NORTH 3","11145 - FAR","MY CAR PVT. LTD.","Arena","B8455113508","The customer called regarding pending accessories that were booked about one to one and a half months ago. The dealership delivered the vehicle to the customer on time but the requested accessory items have still not been provided to the owner. The customer is dissatisfied with this long delay and demands an immediate update on when these accessories will be installed.","2026-06-15 10:15:35.10155","81116911@maruticrm.onmicrosoft.com","2026-06-15 10:15:35.10155","81116911@maruticrm.onmicrosoft.com","OPEN","Query - Sales","OPEN","1",NULL,NULL
"WEST 2","12663 - SOQ","CHAVAN MOTORS DIVISION INDIA PVT LTD","Nexa","B8882718999","Customer concern was related to the accessories and I told him that you can purchase the it from the website or else application and I have shared the details of the workshop and told him that you will get an update from them as quick as possible. Hence raised the concern.","2026-06-15 10:16:18.807295","81130307@maruticrm.onmicrosoft.com","2026-06-15 10:16:18.807295","81130307@maruticrm.onmicrosoft.com","OPEN","Query- Accessories","OPEN","1",NULL,NULL
"CENTRAL 2","12357 - GUO","PREM MOTORS PVT. LTD.","Arena","B4962964447","The customer called to register a formal complaint against the workshop for performing unauthorized work on their vehicle. The owner stated that the technical staff did not take any prior permission or approval before changing parts and completing extra repairs. The customer feels completely cheated as they were forced to pay additional money for jobs they never authorized. The caller demands a strict justification and a full refund of the amount collected without consent.","2026-06-15 10:16:30.761018","81116911@maruticrm.onmicrosoft.com","2026-06-15 10:16:30.761018","81116911@maruticrm.onmicrosoft.com","OPEN","Query- Service","OPEN","1",NULL,NULL
"SOUTH EAST 2","14869 - MSQ","M SQUARE MOTORS (A UNIT OF MAHAVIR MOTORS)","Arena","B5297498031","Customer has mentioned: ""I would like to bring to your attention that my new Maruti Suzuki Brezza (Reg. No. CG10CE0955) has been lying at your workshop/showroom for the last 10 days, and I have not received any clear update regarding the issue or the expected timeline for resolution. As this is a brand-new vehicle, such a prolonged delay is causing significant inconvenience. I request you to kindly provide a detailed explanation of the problem and an estimated date by which the vehicle will be repaired and delivered. Further, if the vehicle is found to have any major manufacturing defect or if the issue cannot be resolved satisfactorily within a reasonable time, I request Maruti Suzuki to provide a replacement vehicle in accordance with the applicable warranty and customer satisfaction policies. I expect an immediate response and an early resolution to this matter.""<<<<<<<<<<<<<<<<<<<<<<<<Synopsis>>>>>>>>>>>>>>>>>>>>>>>>>>>>The customer is reporting a 10-day delay in repairing their new Maruti Suzuki Brezza (Reg. No. CG10CE0955) at the workshop without clear updates. Due to the significant inconvenience caused by this delay on a brand-new vehicle, they demand an immediate explanation of the issue, a definitive repair timeline, and a prompt resolution. Furthermore, they request a vehicle replacement under warranty and customer satisfaction policies if a major manufacturing defect is identified or if the issue cannot be resolved satisfactorily in a reasonable timeframe.","2026-06-15 10:17:01.902298","81108043@maruticrm.onmicrosoft.com","2026-06-15 10:17:01.902298","81108043@maruticrm.onmicrosoft.com","OPEN","Query- Service","OPEN","1",NULL,NULL
"NORTH 2","10308 - BTR","RISHABH FOURWHEELS PVT. LTD.","Arena","B2659438015"," The customer's car met with an accident, after which it was given to the workshop. It has been 1 month, and the customer has still not received the car. The customer is facing extreme trouble, and no work has been done on the car yet. Furthermore, the behavior of the workshop staff is very rude. The customer even spoke with the General Manager (GM), but they are only delaying by claiming they will deliver the car today, without committing to a fixed date and customer said he was not receive any updated when the going to deliver the car .They haven't even touched the car for a month, and the workshop staff is excusing this by saying they don't have enough staff and i pitched the FCR (First Call Resolution) process to the customer, but the customer saying that they want to raise a complaint.","2026-06-15 10:17:06.062785","81113855@maruticrm.onmicrosoft.com","2026-06-15 10:17:06.062785","81113855@maruticrm.onmicrosoft.com","OPEN","Query- Service","OPEN","1",NULL,NULL
"SOUTH EAST 1","14929 - PJK","VARUN MOTORS PVT. LTD.","Arena","B5221902041","*****The complaint has been transferred from service to spare parts department*****

Customer Concern VOC:Dear Maruti Suzuki Customer Care Team,

I am writing to file a formal concern regarding my experience with Maruti Suzuki , Varun mortars , Krishna district , Kanchikacherla showroom.

*Vehicle Details:*
- Registration No: AP40ER1259
- Service Date: 28th April 2026
- Service Center: Maruti Suzuki Kanchikacherla

*Issue:*
During the service on 28th April 2026, the team identified that my car needs AC adjustment caps (4 nos) and a seat adjustment lever. The showroom placed the order for these parts on 6th May 2026.

As of today, 2nd June 2026, I have not received the parts. For nearly 4 weeks, the team has been postponing the delivery date without giving a proper reason or a confirmed ETA. The management is also not providing clear answers and keeps delaying the response.

I have owned cars from other brands as well, and I have never faced this level of delay in body parts delivery. Compared to them, Maruti Suzuki’s parts delivery and service at this showroom has been unsatisfactory.

*My Request:*
1. Please check the status of the parts order placed on 6th May 2026 for vehicle AP40ER1259 in your system and confirm the actual ETA.
2. Provide a firm delivery and fitment date for the parts.
3. Investigate whether the delay is due to stock issues at HO or due to poor follow-up by the Kanchikacherla showroom.

I request you to resolve this within 3 working days and revert with a clear update.

Regards,  
Pavan illa 
9515713837====================================================================================================================================Synopsis:The customer, Pavan Illa, is filing a formal concern against the Maruti Suzuki Varun Motors showroom in Kanchikacherla regarding an unresolved delay in parts delivery for his vehicle (Registration No: AP40ER1259). Following a service on 28th April 2026, the showroom ordered four AC adjustment caps and a seat adjustment lever on 6th May 2026, but has failed to deliver or install them after nearly four weeks of continuous postponements and unclear responses from management. Comparing this experience unfavourably to other car brands, the customer is requesting that Maruti Suzuki Customer Care track the order status, provide a firm delivery and fitment date, investigate whether the delay stems from head office stock issues or showroom negligence, and resolve the matter within three working days. Kindly look into the matter at earliest.","2026-06-15 10:17:07.97977","81111089@maruticrm.onmicrosoft.com","2026-06-15 10:17:07.97977","81111089@maruticrm.onmicrosoft.com","OPEN","Query-MSGP","OPEN","1",NULL,NULL
"WEST 3","12465 - ZSC","AMAR CARS PVT LTD","Nexa","B9548633270","The customer's concern is regarding the service centre. Some parts of their vehicle were accidentally installed in another customer's vehicle. Now, the customer is being told that the other vehicle has not returned yet, so they should just adjust with it for now. provide a professional resolution regarding this.","2026-06-15 10:19:06.107991","81113796@maruticrm.onmicrosoft.com","2026-06-15 10:19:06.107991","81113796@maruticrm.onmicrosoft.com","OPEN","Query- Service","OPEN","1",NULL,NULL
"SOUTH 2","10937 - YLS","BIMAL AUTO AGENCY INDIA PVT. LTD.","Arena","B9114200670","The customer called to issue that the showroom is refusing to let them conduct a Pre-Delivery Inspection (PDI) of their vehicle. They stated that the dealership staff is pressurizing them to pay an additional ₹1,00,000 before allowing the PDI to take place. Kindly arrange an immediate callback from the showroom management to stop this pressure and provide the customer with a proper, professional response regarding their PDI rights.","2026-06-15 10:20:46.107695","81122780@maruticrm.onmicrosoft.com","2026-06-15 10:20:46.107695","81122780@maruticrm.onmicrosoft.com","OPEN","Query - Sales","OPEN","1",NULL,NULL
"NORTH 2","11837 - C15","C M AUTO SALES PVT. LTD.","Nexa","B2648259732","The customer called to issue about an excessive delay in their vehicle's delivery after submitting it for body repair servicing. The customer is extremely frustrated and has tried contacting the service Centre multiple times, but the workshop team is not picking up their calls or returning them. Kindly ensure that the workshop management establishes immediate contact with the customer to provide a clear status update and share the exact time for their service delivery.","2026-06-15 10:22:11.175509","81122780@maruticrm.onmicrosoft.com","2026-06-15 10:22:11.175509","81122780@maruticrm.onmicrosoft.com","OPEN","Query- Service","OPEN","1",NULL,NULL
"WEST 3","13423 - RKA","KATARIA AUTOMOBILES PVT. LTD.","Nexa","B1158107874","The customer's concern is that there is an issue with the car's tyre, as well as an issue with the jammer. They are seeking assistance regarding this. They visited the workshop, but the workshop is currently not providing any response. Therefore, I have raised a query on workshop and shared the Customer Care Manager's (CCM) number. Please assist them.","2026-06-15 10:23:19.183581","81116912@maruticrm.onmicrosoft.com","2026-06-15 10:23:19.183581","81116912@maruticrm.onmicrosoft.com","OPEN","Query- Service","OPEN","1",NULL,NULL
"WEST 2","10998 - OSN","CHAVAN MOTORS DIVISION INDIA PVT LTD","Arena","B7821311849","Customer VOC: I have purchased new wegonR cng car in October 2022. Which is petrol plus cng car. You provided me 5 years engine warranty with purchase of my car. 
   Sir my query is that govt approved ethanol blend petrol for all vehicles, it I use ethanol blended petrol in my car and if there are anything happens to engine of my car, whether it will comes under warranty or not.  =========================================== Customer concern regarding some clarification related to engine warranty rejected if damage by the use of ethanol  blend petrol. Customer said that he has purchased new wegonR cng car in October 2022. Which is petrol plus cng car and Provided the 5 years engine warranty with purchase of his car.  now customer said that  his query is that govt approved ethanol blend petrol for all vehicles, if he use ethanol blended petrol in his car and if there are anything happens to engine of his car, whether it will comes under warranty or not. kindly look into this matter. ","2026-06-15 10:25:00.909223","81109568@maruticrm.onmicrosoft.com","2026-06-15 10:25:00.909223","81109568@maruticrm.onmicrosoft.com","OPEN","Query- Service","OPEN","1",NULL,NULL
"WEST 2","10124 - BFC","SEVA AUTOMOTIVE PVT. LTD.","Arena","B7273317713","The customer called stating that they brought their vehicle to the service center for body repairs, but they have not received any updates regarding the completion timeline. The workshop has failed to inform them when the car will be ready for handover. Kindly have the workshop management contact the customer immediately to provide a clear status update and a definitive delivery schedule.","2026-06-15 10:25:15.141841","81122780@maruticrm.onmicrosoft.com","2026-06-15 10:25:15.141841","81122780@maruticrm.onmicrosoft.com","OPEN","Query- Service","OPEN","1",NULL,NULL
"NORTH 2","13042 - AKN","JAMMU MOTORS PVT. LTD.","Arena","B5390000141","1. Mobile Number used for login : 9541993876
2. Vehicle Registration number : 26BH4737J  
3. Vehicle model name : MARUTI SWIFT LXI 1.2L ISS 5MT
order id - msga000443409
Order Status	Cancelled
The customer informed us that they placed an order on June 3, 2026, and subsequently cancelled it, but they have not yet received their refund. Upon reviewing the order status, it was found that while the order is marked as ""Cancelled"" in the system, the refund has not been initiated yet. A request is being raised to expedite the process so the customer can receive their refund amount at the earliest. at the end while explaining the customer abruptly disconnected the call from their end customer is irate and frustrated . 
","2026-06-15 10:25:31.057396","81111034@maruticrm.onmicrosoft.com","2026-06-15 10:25:31.057396","81111034@maruticrm.onmicrosoft.com","OPEN","Query - Sales","OPEN","1",NULL,NULL
"SOUTH 3","16207 - COC","GEORGE MAIJO AUTOMOBILES PVT LTD","Arena","B0777941760","Customer has a vehicle model 1.5 2019 etriga kl16w8188 and there is a sound from the car before 4 months and gave to service center stating the sound and changed tensioner still issue not solved and then after few days compresser changed and then also same sound then customer changed pully still now the issue is not been rectified so please look into the issue ASAP as this is customer's earning so kindly do the needfull.","2026-06-15 10:26:35.230171","1154857@maruticrm.onmicrosoft.com","2026-06-15 10:26:35.230171","1154857@maruticrm.onmicrosoft.com","OPEN","Query- Service","OPEN","1",NULL,NULL
"EAST 2","10261 - KKR","PREMSONS MOTOR UDYOG PVT. LTD.","Arena","B5337631811","Customer inform he booked the vehicle with 9000 RS /- booking amount and now he would like to cancel it due to some reason  , So followed the FCR and and raise the query for customers concern by sharing the contact details of QCM-Shaheen","2026-06-15 10:27:20.864261","81113799@maruticrm.onmicrosoft.com","2026-06-15 10:27:20.864261","81113799@maruticrm.onmicrosoft.com","OPEN","Query - Sales","OPEN","1",NULL,NULL
"SOUTH 1","12274 - CEI","VISHNU CARS PVT. LTD.","Arena","B5321301142","Customer issue regarding severe staff misbehavior and neglect of vehicle concerns. The customer P. Maharaja reports a deeply distressing experience during a vehicle service visit at Vishnu Cars Kattupakkam. The customer notes that all staff members exhibited extremely rude behavior, completely ignored reported vehicle concerns, and refused to answer any service-related questions. This handling caused significant emotional distress to the customer. The customer demands that management treats this complaint with absolute seriousness and provides a prompt, clear resolution regarding the unprofessional staff conduct.","2026-06-15 10:27:28.135824","81109567@maruticrm.onmicrosoft.com","2026-06-15 10:27:28.135824","81109567@maruticrm.onmicrosoft.com","OPEN","Query- Service","OPEN","1",NULL,NULL
"EAST 1","12277 - KKA","OSL MOTOCORP PVT LTD","Arena","B0971497274","The customer states that they booked a car where the waiting period shows as 10 to 12 weeks in the master list. However, at the time of booking, they were promised delivery within 4 to 5 days. It has now been two months since they booked the vehicle  27th April, and it has still not been delivered. Please ensure the car is provided to them as quickly as possible.","2026-06-15 10:29:56.3539","81113796@maruticrm.onmicrosoft.com","2026-06-15 10:29:56.3539","81113796@maruticrm.onmicrosoft.com","OPEN","Query - Sales","OPEN","1",NULL,NULL
"NORTH 2","10308 - BTR","RISHABH FOURWHEELS PVT. LTD.","Arena","B8382357789","customer called to report that their vehicle started rusting within 20 days of purchase. They mentioned that despite visiting the workshop since May 28th, they have received no assistance. I have provided them with the General Manager's contact number and assured them that the relevant department will coordinate with them to resolve the issue","2026-06-15 10:31:00.344431","81122553@maruticrm.onmicrosoft.com","2026-06-15 10:31:00.344431","81122553@maruticrm.onmicrosoft.com","OPEN","Query- Service","OPEN","1",NULL,NULL
"SOUTH EAST 2","12071 - BRM","SKY AUTOMOBILES","Arena","B1185170527","The customer's concern is that his car is currently parked at the service centre and there are a lot of problems in his car. He talked to the service centre about this but he is not getting any proper solution. The engine issue is happening since before the servicing. He has told the service centre people that the customer is saying that he has also talked to the service centre hence shred the WM number i raised a concern as a query.
","2026-06-15 10:33:01.760929","81128793@maruticrm.onmicrosoft.com","2026-06-15 10:33:01.760929","81128793@maruticrm.onmicrosoft.com","OPEN","Query- Service","OPEN","1",NULL,NULL
"CENTRAL 3","11289 - DSA","VIPUL MOTORS PVT. LTD.","Arena","B2880547268","Customer contacted because their vehicle permit has expired and they are trying to renew it from the RTO but the RTO officials informed that installing a panic button is now compulsory due to a new government update so the vehicle permit cannot be renewed without it because of this the query has been successfully raised directly with the showroom team who will coordinate with the customer directly to assist with the installation on priority Additionally i have shared QCM number for direct coordination.","2026-06-15 10:33:21.592138","81114048@maruticrm.onmicrosoft.com","2026-06-15 10:33:21.592138","81114048@maruticrm.onmicrosoft.com","OPEN","Query - Sales","OPEN","1",NULL,NULL
"NORTH 1","13285 - DRP","AKANKSHA AUTOMOBILES (RUDRAPUR) PVT LTD","Arena","B4985558157","Customer call regarding highly unsatisfactory vehicle servicing, causing significant distress; shared customer details with the workshop team and provided the CCM contact number for immediate assistance","2026-06-15 10:35:16.446618","81116913@maruticrm.onmicrosoft.com","2026-06-15 10:35:16.446618","81116913@maruticrm.onmicrosoft.com","OPEN","Query- Service","OPEN","1",NULL,NULL
"NORTH 3","10355 - VKS","BRIGHT 4 WHEEL SALES PVT. LTD.","Arena","B4953895996","customer voc: I wanted to buy a new Dezire VXI CNG for which I met Mr. Vijay, Sales Representative of Nexa showroom located at Unnao, Bright Four Wheel Vikas Nagar, Lucknow after which he gave me a quotation; on the basis of the quotation I deposited Rs. 50,000 on 7th June 2026 through QR code: Two days later I got a call from Mr. Vijay that the car has to be insured with Magma for which the price is 39000 whereas he had written Rs. 30682 in the quotation of the car: in this regard I also spoke to his senior Mr. Bhagwan Singh ji after that…=================================synopsis:  customer has mention that he  wanted to buy a new Dezire VXI CNG for which he met Mr. Vijay, Sales Representative of Nexa showroom located at Unnao, Bright Four Wheel Vikas Nagar, Lucknow after which he gave him a quotation; on the basis of the quotation he deposited Rs. 50,000 on 7th June 2026 through QR code: Two days later he got a call from Mr. Vijay that the car has to be insured with Magma for which the price is 39000 whereas he had written Rs. 30682 in the quotation of the car: in this regard he also spoke to his senior Mr. Bhagwan Singh ji after that.  kindly look into this matter ","2026-06-15 10:35:17.175799","81109916@maruticrm.onmicrosoft.com","2026-06-15 10:35:17.175799","81109916@maruticrm.onmicrosoft.com","OPEN","Query - Sales","OPEN","1",NULL,NULL
"SOUTH 1","12861 - MDR","ASIR AUTOMOBILES PVT LTD","Arena","B0640967176","The customer called because they have not received their vehicle delivery yet. Upon checking the system, I found that there is a waiting period of 4 to 8 weeks showing for their car model. I informed the customer about this timeline and, for further assistance, provided them with the contact number of the Quality Check Manager so they can connect directly to track their vehicle's status.","2026-06-15 10:35:40.879191","81122780@maruticrm.onmicrosoft.com","2026-06-15 10:35:40.879191","81122780@maruticrm.onmicrosoft.com","OPEN","Query - Sales","OPEN","1",NULL,NULL
